date,Amala
2020-06-14,32
2020-06-21,29
2020-06-28,27
2020-07-05,25
2020-07-12,35
2020-07-19,39
2020-07-26,25
2020-08-02,27
2020-08-09,31
2020-08-16,30
2020-08-23,32
2020-08-30,33
2020-09-06,29
2020-09-13,27
2020-09-20,31
2020-09-27,27
2020-10-04,29
2020-10-11,21
2020-10-18,29
2020-10-25,34
2020-11-01,32
2020-11-08,35
2020-11-15,27
2020-11-22,23
2020-11-29,21
2020-12-06,24
2020-12-13,22
2020-12-20,36
2020-12-27,34
2021-01-03,18
2021-01-10,29
2021-01-17,30
2021-01-24,22
2021-01-31,33
2021-02-07,24
2021-02-14,40
2021-02-21,34
2021-02-28,23
2021-03-07,19
2021-03-14,32
2021-03-21,26
2021-03-28,26
2021-04-04,26
2021-04-11,33
2021-04-18,23
2021-04-25,46
2021-05-02,33
2021-05-09,24
2021-05-16,21
2021-05-23,37
2021-05-30,46
2021-06-06,31
2021-06-13,20
2021-06-20,35
2021-06-27,29
2021-07-04,28
2021-07-11,43
2021-07-18,47
2021-07-25,41
2021-08-01,37
2021-08-08,18
2021-08-15,35
2021-08-22,30
2021-08-29,34
2021-09-05,24
2021-09-12,41
2021-09-19,30
2021-09-26,27
2021-10-03,45
2021-10-10,53
2021-10-17,36
2021-10-24,47
2021-10-31,41
2021-11-07,43
2021-11-14,40
2021-11-21,40
2021-11-28,36
2021-12-05,35
2021-12-12,41
2021-12-19,36
2021-12-26,34
2022-01-02,40
2022-01-09,38
2022-01-16,55
2022-01-23,36
2022-01-30,40
2022-02-06,37
2022-02-13,41
2022-02-20,48
2022-02-27,46
2022-03-06,39
2022-03-13,38
2022-03-20,34
2022-03-27,36
2022-04-03,47
2022-04-10,40
2022-04-17,28
2022-04-24,35
2022-05-01,31
2022-05-08,25
2022-05-15,24
2022-05-22,25
2022-05-29,40
2022-06-05,45
2022-06-12,50
2022-06-19,49
2022-06-26,48
2022-07-03,30
2022-07-10,61
2022-07-17,38
2022-07-24,34
2022-07-31,49
2022-08-07,51
2022-08-14,60
2022-08-21,42
2022-08-28,39
2022-09-04,52
2022-09-11,51
2022-09-18,48
2022-09-25,40
2022-10-02,43
2022-10-09,41
2022-10-16,43
2022-10-23,56
2022-10-30,38
2022-11-06,39
2022-11-13,36
2022-11-20,40
2022-11-27,44
2022-12-04,42
2022-12-11,42
2022-12-18,59
2022-12-25,100
2023-01-01,67
2023-01-08,54
2023-01-15,55
2023-01-22,62
2023-01-29,49
2023-02-05,52
2023-02-12,45
2023-02-19,48
2023-02-26,46
2023-03-05,49
2023-03-12,44
2023-03-19,55
2023-03-26,55
2023-04-02,45
2023-04-09,57
2023-04-16,48
2023-04-23,62
2023-04-30,60
2023-05-07,46
2023-05-14,55
2023-05-21,51
2023-05-28,54
2023-06-04,56
2023-06-11,49
2023-06-18,62
2023-06-25,54
2023-07-02,54
2023-07-09,40
2023-07-16,49
2023-07-23,67
2023-07-30,68
2023-08-06,50
2023-08-13,79
2023-08-20,58
2023-08-27,67
2023-09-03,55
2023-09-10,50
2023-09-17,54
2023-09-24,41
2023-10-01,49
2023-10-08,58
2023-10-15,50
2023-10-22,79
2023-10-29,62
2023-11-05,97
2023-11-12,45
2023-11-19,53
2023-11-26,52
2023-12-03,62
2023-12-10,61
2023-12-17,54
2023-12-24,56
2023-12-31,82
2024-01-07,66
2024-01-14,54
2024-01-21,46
2024-01-28,55
2024-02-04,54
2024-02-11,59
2024-02-18,52
2024-02-25,57
2024-03-03,54
2024-03-10,76
2024-03-17,84
2024-03-24,73
2024-03-31,46
2024-04-07,45
2024-04-14,59
2024-04-21,52
2024-04-28,41
2024-05-05,41
2024-05-12,44
2024-05-19,52
2024-05-26,54
2024-06-02,56
2024-06-09,59
2024-06-16,54
2024-06-23,48
2024-06-30,73
2024-07-07,54
2024-07-14,58
2024-07-21,66
2024-07-28,72
2024-08-04,64
2024-08-11,54
2024-08-18,54
2024-08-25,62
2024-09-01,70
2024-09-08,61
2024-09-15,61
2024-09-22,51
2024-09-29,57
2024-10-06,45
2024-10-13,65
2024-10-20,69
2024-10-27,55
2024-11-03,65
2024-11-10,50
2024-11-17,50
2024-11-24,55
2024-12-01,52
2024-12-08,57
2024-12-15,71
2024-12-22,37
2024-12-29,55
2025-01-05,50
2025-01-12,63
2025-01-19,50
2025-01-26,69
2025-02-02,40
2025-02-09,53
2025-02-16,56
2025-02-23,53
2025-03-02,51
2025-03-09,54
2025-03-16,60
2025-03-23,61
2025-03-30,57
2025-04-06,63
2025-04-13,55
2025-04-20,58
2025-04-27,47
2025-05-04,61
2025-05-11,46
2025-05-18,62
2025-05-25,62
2025-06-01,51
2025-06-08,51
2025-06-15,55
